1,2,3,4,5,6,7,8,9,label
79,0,84,0,-36,-196,4,120,116,5
81,0,84,0,-20,26,3,105,102,5
80,0,84,-1,-28,-24,4,112,108,5
108,3,109,0,72,7,1,36,36,5
85,0,88,7,2,0,3,86,82,5
81,0,84,0,-20,-17,4,105,102,5
81,0,84,0,-14,-2,4,100,96,5
80,-4,84,0,-42,0,5,128,124,5
81,0,84,0,-20,16,4,105,102,5
76,0,81,0,-42,-20,5,125,120,5
82,0,86,0,-10,10,3,96,92,5
106,0,107,0,72,0,1,35,34,5
76,-1,81,0,-42,-3,5,125,120,5
84,-2,88,0,0,0,4,88,84,5
77,4,81,3,-40,10,4,123,118,5
84,0,86,-1,-2,0,3,89,86,5
73,8,77,9,-42,-4,4,121,116,5
102,0,102,-5,70,-10,1,33,32,5
105,0,107,2,70,0,1,37,36,5
85,0,88,0,0,-1,3,88,86,5
79,0,83,0,-42,21,4,127,122,5
74,5,79,10,-42,0,4,123,118,5
82,0,86,0,-40,16,4,128,124,5
80,0,84,6,-36,29,5,121,116,5
79,0,83,-1,-40,7,4,124,120,5
81,5,85,0,-12,0,4,98,94,5
107,5,108,1,72,6,1,36,34,5
82,0,85,0,-6,5,3,93,90,5
86,2,89,0,8,4,3,81,78,5
80,0,84,5,-42,0,5,128,124,5
105,-1,106,-4,70,-5,1,36,36,5
104,0,106,0,72,2,1,33,32,5
80,0,84,0,-36,0,4,120,116,5
81,0,86,0,-22,15,4,109,104,5
84,2,87,2,-4,0,3,92,88,5
101,0,102,0,72,8,1,29,28,5
78,1,82,3,-42,0,4,126,122,5
106,-1,108,0,72,3,1,35,34,5
107,1,109,5,72,1,2,36,34,5
102,2,103,1,72,29,1,31,30,5
79,2,83,0,-46,0,4,129,126,5
83,0,87,7,-6,-18,4,95,90,5
82,0,86,8,-10,14,4,97,92,5
105,-4,106,0,72,6,1,34,32,5
85,-7,89,0,8,0,4,81,78,5
82,3,86,-2,-10,14,3,96,92,5
79,2,83,0,-40,15,4,124,120,5
82,0,86,0,-4,-10,3,91,88,5
102,0,103,2,72,30,1,31,30,5
102,0,103,0,70,-26,1,33,32,5
83,0,86,0,-6,0,3,94,90,5
76,3,80,2,-42,0,4,124,120,5
102,0,104,0,70,-10,1,34,32,5
85,-2,89,0,2,-4,4,86,82,5
79,0,83,0,-42,1,4,127,122,5
80,0,84,0,-24,14,4,110,106,5
102,-5,104,-2,72,16,1,31,30,5
106,-1,107,-6,70,0,1,37,36,5
80,-1,84,-1,-42,4,5,128,124,5
82,0,86,3,-10,-30,4,96,92,5
82,0,86,0,-12,-28,3,99,96,5
83,0,86,0,-2,0,3,88,86,5
80,0,84,0,-38,0,4,123,118,5
77,-44,107,0,62,-4,30,45,16,3
79,-5,83,0,-40,0,4,125,120,5
106,0,107,0,72,7,1,35,34,5
105,-1,106,-3,70,-4,1,36,36,5
81,4,84,0,-24,0,3,110,106,5
80,0,84,-5,-20,0,4,105,100,5
84,0,87,-5,0,1,3,87,84,5
80,1,84,0,-24,26,4,110,106,5
80,0,84,0,-24,24,4,110,106,5
82,0,86,5,-6,2,4,94,90,5
45,-44,77,0,-2,0,32,79,48,3
76,0,81,5,-42,-25,5,125,120,5
51,23,77,0,28,0,26,48,22,2
79,0,83,0,-38,13,4,122,118,5
81,5,85,0,-24,0,4,111,108,5
85,-5,88,0,0,-2,3,88,84,5
85,0,88,0,0,-30,3,88,84,5
79,0,83,0,-42,16,4,127,122,5
105,0,107,3,70,0,1,37,36,5
81,0,84,0,-18,-15,3,103,100,5
75,-43,88,-1,8,0,14,81,68,3
82,-1,86,0,-4,-8,3,91,88,5
79,0,83,5,-46,0,5,130,126,5
82,-1,86,-3,-40,0,4,128,124,5
82,2,86,0,-22,12,4,109,106,5
85,0,88,-14,0,0,3,88,84,5
79,0,83,0,-30,-13,4,114,110,5
102,0,103,1,70,-9,1,33,32,5
81,0,86,0,-24,-15,4,112,108,5
82,0,86,0,-12,-1,3,99,96,5
83,-1,87,6,-4,0,4,92,88,5
105,0,106,0,72,0,1,34,34,5
79,0,84,6,-38,0,4,123,118,5
101,0,102,0,72,15,1,30,28,5
83,0,86,0,-4,-2,4,92,88,5
79,0,84,3,-42,-8,4,128,124,5
84,0,87,0,0,3,3,87,84,5
78,0,81,-2,-40,0,4,123,120,5
85,0,88,-1,2,0,3,85,82,5
85,0,88,0,0,-15,3,88,86,5
78,0,82,-4,-40,0,4,123,120,5
82,0,86,1,-6,2,4,94,90,5
42,23,77,0,28,0,34,48,14,2
82,0,86,0,-4,-14,3,91,88,5
80,0,84,0,-36,-2,4,120,116,5
82,0,86,0,-22,6,4,109,106,5
48,-42,78,-7,0,0,30,78,48,3
102,3,103,2,70,-22,1,33,32,5
78,1,83,1,-40,13,4,124,120,5
83,0,86,8,-2,0,4,89,86,5
71,1,75,4,-42,-9,4,119,114,5
79,0,83,0,-46,-2,4,130,126,5
104,4,106,5,72,7,1,33,32,5
121,962,106,-2,34,-3,-15,72,88,5
102,3,102,1,72,14,1,30,30,5
83,3,86,0,-2,0,3,88,86,5
82,0,85,0,-10,-18,3,95,92,5
103,5,104,1,72,6,1,31,30,5
85,-2,89,0,2,-6,4,86,82,5
83,0,86,0,-4,-4,4,92,88,5
85,0,89,0,6,30,4,84,80,5
106,1,108,4,70,0,2,38,36,5
83,0,87,0,-40,5,4,128,124,5
74,-11,79,-9,-40,5,4,120,116,5
102,2,103,2,72,13,1,31,30,5
76,1,81,1,-42,-19,5,125,120,5
83,-31,107,0,62,-26,24,45,22,3
101,0,102,0,70,-20,1,32,32,5
80,0,84,0,-40,26,4,125,122,5
83,0,86,-2,-4,2,3,92,88,5
81,0,84,0,-18,2,4,103,98,5
102,0,102,-5,70,-11,1,33,32,5
79,-1,83,0,-32,132,4,117,112,5
81,0,84,0,-22,-10,4,108,104,5
79,5,83,0,-46,0,4,129,126,5
79,0,84,0,-42,-24,4,128,124,5
82,0,86,0,-10,29,3,96,92,5
77,-4,81,0,-40,91,4,123,118,5
105,3,106,1,72,5,1,33,32,5
81,4,85,8,-24,0,4,111,106,5
78,1,83,1,-42,-22,4,126,122,5
107,-2,108,0,70,0,1,38,36,5
85,0,88,-1,6,23,3,83,80,5
80,0,84,8,-24,8,4,110,106,5
79,0,83,0,-40,-10,4,125,120,5
72,3,76,7,-40,29,4,117,114,5
84,0,87,0,0,2,3,87,84,5
103,6,104,3,72,5,1,32,30,5
45,-49,77,0,-2,0,32,79,48,3
79,0,84,0,-36,-1471,4,120,116,5
105,5,106,2,72,8,1,33,32,5
78,-2,83,0,-40,2,4,124,120,5
86,4,89,0,8,0,3,81,78,5
90,-37,107,0,64,-23,17,42,26,3
106,-4,108,0,72,11,1,35,34,5
105,-5,106,0,70,0,1,36,36,5
106,6,108,4,72,10,1,35,34,5
81,0,84,0,-14,26,3,100,96,5
84,1,88,0,0,3,3,88,84,5
77,5,81,4,-40,12,4,123,118,5
84,-4,88,0,6,0,4,83,78,5
76,0,80,-1,-42,-11,4,124,120,5
76,1,80,0,-40,0,4,121,118,5
82,0,86,0,-22,7,4,109,106,5
84,0,87,-2,0,0,3,87,84,5
85,2,88,0,0,-30,3,88,86,5
50,23,77,0,-22,0,27,101,74,2
79,0,83,0,-38,7,4,122,118,5
86,4,89,0,2,-8,3,86,84,5
81,0,86,3,-40,3,5,127,122,5
79,0,83,-1,-42,-29,4,126,122,5
85,0,88,0,6,4,3,83,80,5
87,1,89,0,8,0,2,81,80,5
79,1,83,0,-40,9,4,125,120,5
76,0,81,0,-42,-3,5,125,120,5
102,-1,103,-2,72,22,1,31,30,5
104,-1,105,0,72,9,1,33,32,5
37,-1063,106,-1,34,-2,69,72,4,7
71,-4,75,-2,-42,-16,4,119,114,5
84,0,88,0,0,24,3,88,84,5
76,0,80,-1,-42,-13,4,124,120,5
105,-14,108,0,70,0,3,38,34,5
104,4,106,4,70,0,1,36,34,5
85,0,88,3,2,0,3,86,82,5
71,1,75,0,-42,-5,4,119,114,5
80,5,84,1,-38,-20,4,123,118,5
84,0,88,0,-2,-10,3,90,88,5
80,0,84,0,-24,11,4,110,106,5
102,0,102,0,70,-6,1,33,32,5
76,0,81,0,-40,25,5,123,118,5
105,-2,107,0,72,0,1,35,34,5
84,4,88,0,6,0,4,83,78,5
81,-1,84,0,-14,3,4,100,96,5
86,3,89,0,2,0,3,86,84,5
81,0,84,0,-14,1,4,100,96,5
81,-1,84,0,-14,5,4,100,96,5
85,0,89,2,2,0,4,86,82,5
101,0,102,0,72,7,1,29,28,5
79,0,84,4,-38,0,4,123,118,5
104,0,105,0,70,-14,1,35,34,5
81,-35,107,0,62,-10,26,45,18,3
84,0,88,0,0,5,4,88,84,5
104,4,105,8,70,0,1,35,34,5
104,3,105,4,70,0,1,35,34,5
85,-1,89,0,2,-4,4,86,82,5
86,-3,89,0,8,0,3,81,78,5
83,0,86,0,-6,-13,3,94,90,5
83,0,87,8,-4,10,4,92,88,5
83,0,86,0,-2,26,4,89,86,5
82,5,86,0,-12,0,3,99,96,5
77,0,81,6,-42,0,4,125,120,5
80,0,84,0,-32,4,4,117,114,5
80,0,84,0,-20,2,4,105,100,5
83,0,86,0,-4,-13,3,92,88,5
79,0,83,0,-30,-11,4,114,110,5
83,0,86,-1,-6,-30,3,94,90,5
85,0,88,0,2,15,3,86,82,5
82,0,86,-1,-40,0,4,128,124,5
83,0,86,0,-4,15,3,92,88,5
84,0,88,6,-2,0,4,90,86,5
81,0,86,5,-40,5,5,127,122,5
80,0,84,-1,-38,-6,4,123,118,5
80,-3,84,-3,-42,9,5,128,124,5
83,0,86,0,-4,30,3,92,88,5
107,0,108,-3,70,0,1,38,36,5
102,0,103,5,70,-10,1,33,32,5
106,0,108,0,72,2,1,35,34,5
106,0,108,-2,70,-2,1,38,36,5
79,-3,83,0,-46,0,5,130,126,5
82,0,85,-1,-2,9,3,88,84,5
83,1,88,0,6,0,5,83,78,5
104,0,104,-7,70,0,1,35,34,5
37,-110,106,0,34,-3,69,72,4,3
107,0,108,-2,72,8,1,35,34,5
81,5,84,2,-20,0,4,105,102,5
84,0,88,-1,6,-5,5,83,78,5
76,3,81,2,-40,9,5,122,118,5
83,0,86,0,-2,31,3,89,86,5
102,0,102,-3,72,11,1,30,30,5
79,0,83,0,-46,-12,4,130,126,5
49,-58,88,0,6,-17,40,83,44,3
81,0,84,0,-14,17,3,100,96,5
80,0,84,0,-32,20,4,117,114,5
76,0,80,-2,-42,-8,4,124,120,5
82,0,85,0,-6,8,3,93,90,5
101,-1,102,0,70,-2,1,33,32,5
79,0,83,0,-46,-21,4,130,126,5
80,-2,84,-3,-42,-24,4,128,124,5
80,2,84,0,-40,4,4,126,122,5
76,2,81,0,-40,20,4,122,118,5
83,0,86,0,-4,27,3,92,88,5
76,0,81,4,-40,0,5,122,118,5
77,2,81,0,-42,0,4,125,120,5
85,0,88,-5,6,2,3,83,80,5
80,5,84,1,-40,9,4,126,122,5
85,0,88,0,0,-18,3,88,86,5
82,0,85,0,-10,-23,3,95,92,5
51,-65,88,0,8,5,37,81,44,3
79,2,83,0,-46,0,4,130,126,5
80,3,84,0,-38,-21,4,123,118,5
84,0,88,0,-2,0,3,90,88,5
81,0,86,5,-24,-6,4,112,108,5
84,-4,88,0,2,0,3,85,82,5
81,0,84,0,-20,17,4,105,102,5
79,1,83,0,-46,0,4,129,126,5
84,-3,88,0,0,1,4,88,84,5
107,0,108,-2,70,0,1,38,36,5
123,136,105,0,36,-1,-18,69,86,5
81,0,84,0,-14,-10,3,99,96,5
84,0,87,0,-4,0,3,92,88,5
79,0,83,2,-42,0,5,127,122,5
72,8,76,5,-42,-8,4,120,116,5
75,2,79,1,-42,0,4,123,118,5
106,0,107,-3,70,0,1,37,36,5
74,11,78,12,-42,-2,4,122,118,5
80,4,84,1,-40,7,4,126,122,5
85,1,88,0,0,0,3,88,86,5
79,0,83,0,-38,1,4,122,118,5
82,0,86,1,-6,0,4,94,90,5
79,0,84,8,-42,-21,4,128,124,5
85,0,88,-5,6,0,3,83,80,5
81,-4,86,-4,-40,0,4,127,122,5
42,22,77,0,28,0,35,48,14,2
105,-4,106,0,70,0,1,36,36,5
85,0,89,6,2,0,4,86,82,5
81,0,84,0,-18,4,4,103,98,5
81,0,84,0,-24,0,4,110,106,5
81,-1,84,0,-12,17,4,97,94,5
49,31,77,0,-22,0,28,101,72,2
83,0,86,0,-4,-3,4,92,88,5
37,-51,106,-1,30,0,69,75,6,3
81,0,84,0,-14,5,3,100,96,5
105,5,106,0,70,0,1,36,36,5
101,0,102,1,70,-15,1,33,32,5
73,-13,77,-13,-40,2,4,119,114,5
82,0,86,0,-2,14,3,88,84,5
84,-28,107,0,64,-2,22,42,20,3
104,-2,105,-1,72,5,1,33,32,5
85,4,88,0,6,0,3,83,80,5
79,0,83,0,-38,31,4,122,118,5
78,-1,82,0,-40,0,4,123,120,5
37,-37,106,-3,34,-6,69,72,4,3
84,4,86,0,-2,0,3,89,86,5
80,3,84,0,-40,5,4,125,122,5
81,1,84,0,-14,-4,3,99,96,5
82,0,87,2,-42,-30,5,131,126,5
107,-5,108,0,70,0,1,38,36,5
80,3,84,0,-28,-10,4,112,108,5
37,-1521,77,0,20,0,40,57,16,7
84,0,88,0,0,15,3,88,84,5
80,4,84,0,-28,-13,4,112,108,5
82,0,85,0,-10,0,3,95,92,5
116,4501,106,-2,30,47,-10,75,84,5
105,0,106,-1,72,1,1,33,32,5
77,2,82,6,-40,15,5,123,118,5
102,0,102,-7,70,-6,1,33,32,5
85,0,88,-2,6,-7,3,83,80,5
79,0,83,0,-38,20,4,122,118,5
79,1,83,0,-42,0,4,127,122,5
80,0,84,0,-42,-9,4,128,124,5
105,0,106,-7,72,5,1,33,32,5
83,0,87,6,-4,0,4,92,88,5
78,0,83,6,-46,0,4,129,124,5
83,0,87,0,-40,1,4,128,124,5
80,0,84,-2,-20,0,4,105,100,5
86,5,89,0,6,28,3,84,80,5
82,4,86,0,-22,0,4,109,106,5
80,-2,84,0,-42,0,5,128,124,5
82,0,86,6,-12,0,4,99,94,5
103,-2,104,0,70,0,1,35,34,5
76,-5,81,0,-40,0,5,122,118,5
81,0,84,-1,-14,0,3,99,96,5
104,-3,105,0,72,2,1,33,32,5
84,0,88,-2,0,24,3,88,84,5
107,0,108,-7,70,-24,1,38,36,5
85,0,88,6,2,0,3,86,82,5
83,-1,86,0,-4,-8,4,92,88,5
78,1,83,1,-40,10,4,124,120,5
102,0,103,1,72,26,1,31,30,5
76,-3,81,-2,-40,30,5,123,118,5
82,3,86,0,-22,0,4,109,106,5
104,0,106,0,72,9,1,33,32,5
74,5,78,6,-42,-1,4,122,118,5
82,0,86,0,-40,2,5,128,124,5
108,-1,109,0,70,-28,1,39,38,5
48,45,77,0,-22,0,29,101,72,2
107,4,108,1,72,5,1,36,34,5
79,0,83,0,-30,0,4,114,110,5
83,2,86,6,-6,0,4,94,90,5
101,3,102,0,70,-18,1,32,32,5
78,-4,82,0,-46,0,4,128,124,5
79,0,83,-1,-42,0,4,126,122,5
76,-2,81,0,-40,0,4,122,118,5
105,-1,106,-5,70,-6,1,36,36,5
105,-4,106,-6,72,3,1,33,32,5
85,0,88,0,2,-14,3,86,82,5
79,0,83,0,-42,0,4,127,122,5
85,0,89,5,2,0,4,86,82,5
82,0,86,1,-40,2,5,128,124,5
80,0,84,0,-28,-8,4,112,108,5
78,-3,82,0,-46,0,4,128,124,5
82,0,86,0,-42,-23,4,130,126,5
84,3,87,0,-2,0,3,90,86,5
76,4,81,2,-40,12,5,122,118,5
85,0,88,-3,2,0,3,85,82,5
101,4,102,0,70,-19,1,32,32,5
106,0,107,0,72,2,1,35,34,5
77,4,81,0,-40,0,4,123,118,5
79,-4,83,-2,-32,509,4,117,112,5
81,-2,86,0,-22,0,4,109,104,5
86,2,89,0,2,-2,3,86,84,5
104,0,105,-4,70,-24,1,35,34,5
104,0,104,-6,70,0,1,35,34,5
101,1,102,5,72,8,1,30,28,5
83,0,86,-4,-4,-12,3,91,88,5
84,0,88,0,-2,-8,3,90,88,5
101,0,102,0,72,12,1,30,28,5
102,0,102,-1,70,-7,1,33,32,5
105,0,106,0,70,0,2,36,34,5
102,-2,104,0,72,12,1,31,30,5
82,0,87,4,-40,1,5,128,124,5
87,2,89,0,8,0,2,81,80,5
85,0,89,0,2,-6,4,86,82,5
80,4,84,0,-42,-20,4,128,124,5
84,1,88,0,-2,0,3,90,88,5
71,-5,75,-8,-40,2,4,116,112,5
87,0,89,0,8,0,2,81,80,5
80,0,84,-2,-36,0,4,120,116,5
82,0,86,-1,-10,15,3,96,92,5
81,0,84,0,-20,-13,4,105,102,5
83,0,87,0,-40,8,4,128,124,5
71,-35,107,0,60,-26,35,47,12,3
79,0,83,0,-38,0,4,122,118,5
85,3,88,-2,-2,0,3,90,88,5
106,1,108,0,70,0,1,38,36,5
106,5,108,3,70,0,1,38,36,5
102,0,102,-2,70,-10,1,33,32,5
80,3,83,-2,-28,0,3,112,108,5
78,0,81,-3,-40,0,4,123,120,5
102,0,103,0,70,-7,1,33,32,5
82,-5,86,-2,-4,-17,3,91,88,5
81,-1,85,0,-40,2,4,126,122,5
85,0,88,0,2,-16,3,86,82,5
85,0,88,0,0,-23,3,88,86,5
105,1,108,0,70,0,2,38,36,5
64,1532,106,-2,34,-35,42,72,30,6
80,-1,84,1,-20,0,4,105,100,5
71,2,75,1,-42,-11,4,119,114,5
83,0,86,0,-6,-14,3,94,90,5
76,4,82,0,-42,-6,5,126,120,5
81,0,84,-5,-14,0,3,99,96,5
103,-5,104,-1,70,0,1,35,34,5
79,0,83,0,-32,22,4,117,112,5
81,5,85,2,-40,3,4,126,122,5
104,2,105,0,70,-29,1,35,34,5
82,3,85,0,-12,0,3,98,94,5
79,2,83,0,-42,0,4,126,122,5
78,1,81,0,-40,177,4,123,120,5
77,-2,81,0,-40,47,4,123,118,5
50,22,77,0,28,0,26,48,22,2
82,0,85,0,-6,24,3,93,90,5
79,-1,83,0,-30,0,4,114,110,5
102,0,103,2,70,-4,1,33,32,5
82,0,86,0,-12,0,3,99,96,5
79,-1,83,-7,-40,0,4,125,120,5
82,0,86,8,-6,7,4,94,90,5
79,2,83,0,-40,11,4,125,120,5
79,0,84,3,-42,-6,4,128,124,5
107,-1,108,0,72,1,1,36,34,5
