	a1	a2	a3	a4	a5	a6	Label
0	52	57	48	42	47	54	0
1	25	37	48	43	26	36	0
2	35	48	48	56	4	48	0
3	26	26	48	34	25	35	0
4	44	51	48	47	26	36	0
5	37	5	48	42	36	45	0
6	44	42	48	42	25	2	0
7	24	43	48	37	28	38	0
8	42	3	48	48	26	36	0
9	48	42	48	45	25	35	0
10	41	48	48	51	44	51	0
11	44	28	48	43	27	37	0
12	29	41	48	48	38	46	0
13	34	28	48	41	35	44	0
14	41	43	48	45	31	41	0
15	29	47	48	41	23	34	0
16	34	55	48	58	31	41	0
17	36	56	48	43	45	53	0
18	4	46	48	52	49	56	0
19	5	49	48	49	46	53	0
20	52	44	48	37	36	42	0
21	5	51	48	27	23	34	0
22	53	42	48	16	29	39	0
23	34	46	48	52	35	44	0
24	4	42	48	37	27	27	0
25	41	43	48	5	24	25	0
26	3	45	48	36	21	32	0
27	31	47	48	29	28	39	0
28	64	76	48	45	35	38	0
29	35	37	48	3	34	43	0
30	57	54	48	37	28	33	0
31	65	55	48	34	37	28	0
32	51	46	48	58	31	41	0
33	38	4	48	63	25	35	0
34	24	57	48	63	34	43	0
35	38	26	48	54	16	28	0
36	33	47	48	53	18	29	0
37	24	34	48	38	3	4	0
38	26	5	48	44	32	41	0
39	44	49	48	39	38	4	0
40	43	32	48	33	45	52	0
41	49	43	48	49	3	4	0
42	47	28	48	56	2	25	0
43	32	33	48	6	6	2	0
44	34	35	48	51	49	56	0
45	35	34	48	46	3	27	0
46	38	3	48	43	29	39	0
47	38	44	48	43	2	31	0
48	41	51	48	58	2	31	0
49	34	42	48	41	34	43	0
50	51	49	48	53	14	26	0
51	25	51	48	37	42	5	0
52	29	28	48	5	42	5	0
53	25	26	48	39	32	42	0
54	24	41	48	49	23	34	0
55	17	39	48	53	3	39	0
56	4	31	48	41	29	39	0
57	61	36	48	49	35	44	0
58	34	51	48	44	37	46	0
59	28	33	48	45	22	33	0
60	4	46	48	42	35	44	0
61	23	34	48	43	26	37	0
62	37	44	48	42	39	47	0
63	0	38	48	42	48	55	0
64	39	31	48	38	34	43	0
65	3	44	48	49	22	33	0
66	27	3	48	71	28	39	0
67	17	52	48	49	37	46	0
68	36	42	48	53	32	41	0
69	3	37	48	43	18	3	0
70	26	4	48	36	26	37	0
71	4	41	48	55	22	33	0
72	22	34	48	42	29	39	0
73	44	35	48	44	52	59	0
74	27	42	48	37	38	43	0
75	16	43	48	54	27	37	0
76	6	61	48	49	92	37	0
77	44	52	48	43	47	54	0
78	63	47	48	51	82	84	0
79	23	48	48	59	88	89	0
80	34	49	48	58	85	8	0
81	43	4	48	58	75	78	0
82	46	61	48	48	86	87	0
83	27	35	48	51	77	79	0
84	52	39	48	65	71	73	0
85	29	47	48	71	65	69	0
86	55	47	48	57	78	8	0
87	12	67	48	74	58	63	0
88	4	5	48	65	82	84	0
89	73	36	48	53	91	92	0
90	84	44	48	48	71	74	0
91	48	45	48	6	78	8	0
92	54	49	48	4	87	88	0
93	48	41	48	51	9	88	0
94	5	66	48	31	92	92	0
95	72	46	48	51	66	7	0
96	47	55	48	58	71	75	0
97	33	56	48	33	78	8	0
98	64	58	48	48	78	73	0
99	54	57	48	56	81	83	0
100	47	59	48	52	76	79	0
101	63	5	48	59	85	86	0
102	49	42	48	53	79	81	0
103	31	5	48	57	84	85	0
104	74	44	48	55	88	89	0
105	33	45	48	45	88	89	0
106	45	4	48	61	74	77	0
107	71	4	48	71	7	74	0
108	5	37	48	66	64	69	0
109	66	53	48	59	66	66	0
110	6	61	48	54	67	71	0
111	83	37	48	61	71	74	0
112	34	51	48	67	9	9	0
113	63	54	48	65	79	81	0
114	7	4	48	56	86	83	0
115	6	5	1	54	77	8	0
116	16	51	48	33	39	48	0
117	74	7	48	66	65	69	0
118	2	46	48	57	78	81	0
119	89	55	48	51	72	76	0
120	7	46	48	56	78	73	0
121	12	43	48	63	7	74	0
122	61	52	48	54	67	52	0
123	33	37	48	46	65	69	0
124	63	65	48	66	67	71	0
125	41	51	48	53	75	78	0
126	34	67	48	52	76	79	0
127	58	34	48	56	87	81	0
128	59	56	48	55	8	82	0
129	51	4	48	57	62	67	0
130	5	57	48	71	61	66	0
131	6	46	48	45	81	83	0
132	37	47	48	39	76	79	0
133	58	55	48	57	7	74	0
134	36	47	48	51	69	72	0
135	39	41	48	52	72	75	0
136	35	51	48	61	71	74	0
137	31	44	48	5	79	82	0
138	61	66	48	46	87	88	0
139	48	49	48	52	77	71	0
140	11	5	48	58	72	68	0
141	31	36	48	58	94	94	0
142	68	51	48	71	75	78	0
143	69	39	48	57	76	79	0
144	52	54	48	62	76	79	0
145	46	59	48	36	76	23	0
146	36	45	48	38	79	17	0
147	0	51	48	35	67	44	0
148	1	49	48	41	67	21	0
149	3	51	48	42	61	34	0
150	61	47	48	0	8	32	0
151	63	75	48	64	73	66	0
152	71	52	48	64	1	99	0
153	72	42	48	65	77	79	0
154	79	41	48	66	81	83	0
155	83	48	48	65	76	79	0
156	69	43	48	59	74	77	0
157	79	36	48	46	82	7	0
158	78	33	48	57	77	79	0
159	75	37	48	64	7	74	0
160	59	29	48	64	75	77	0
161	67	37	48	54	64	68	0
162	66	48	48	54	7	74	0
163	64	46	48	48	73	76	0
164	76	71	48	5	71	75	0
165	84	49	48	55	78	74	0
166	77	55	48	51	78	74	0
167	81	44	48	42	67	68	0
168	58	6	48	59	73	76	0
169	63	42	48	48	77	8	0
170	62	42	48	58	79	81	0
171	86	39	48	59	89	9	0
172	81	53	48	57	87	88	0
173	87	49	48	61	76	79	0
174	47	46	48	62	74	77	0
175	76	41	48	5	59	62	0
176	7	53	48	7	86	87	0
177	64	45	48	67	61	66	0
178	81	52	48	57	78	8	0
179	73	26	48	57	75	78	0
180	49	61	1	56	71	74	0
181	88	42	48	52	73	75	0
182	84	54	48	75	92	7	0
183	63	51	48	64	72	76	0
184	86	55	48	63	81	83	0
185	79	54	48	5	66	68	0
186	57	38	48	6	49	33	0
187	78	44	48	45	73	68	0
188	74	49	48	42	54	36	0
189	7	61	48	56	52	43	0
190	66	86	48	34	41	36	0
191	73	78	48	58	51	31	0
192	65	57	48	47	47	51	0
193	72	86	48	17	55	21	0
194	67	7	48	46	45	33	0
195	67	81	48	54	49	23	0
196	67	61	48	51	37	38	0
197	63	1	48	35	51	49	0
198	57	59	48	39	47	33	0
199	71	71	48	4	54	39	0
200	66	74	48	31	38	43	0
201	67	81	48	25	42	25	0
202	64	72	48	49	42	19	0
203	68	82	48	38	65	56	0
204	32	39	48	53	28	38	0
205	7	64	48	47	51	47	0
206	63	57	48	49	7	2	0
207	74	82	48	49	49	41	0
208	63	86	48	39	47	34	0
209	63	83	48	4	39	19	0
210	63	71	48	6	4	39	0
211	71	86	48	4	54	32	0
212	68	78	48	43	44	42	0
213	64	84	48	37	45	4	0
214	74	47	48	5	57	42	0
215	75	84	48	35	52	33	0
216	63	65	48	39	44	35	0
217	69	67	48	3	39	24	0
218	7	71	48	42	84	85	0
219	69	8	48	46	57	26	0
220	64	66	48	41	39	2	0
221	63	8	48	46	31	29	0
222	66	71	48	41	5	35	0
223	69	59	48	46	44	52	0
224	68	67	48	49	4	34	0
225	64	78	48	5	36	38	0
226	62	78	48	47	49	54	0
227	76	73	48	44	39	39	0
228	64	81	48	37	39	44	0
229	29	39	48	52	4	48	0
230	62	83	48	46	36	4	0
231	56	54	48	43	37	3	0
232	69	66	48	41	5	25	0
233	69	65	48	63	48	41	0
234	43	59	48	52	49	56	0
235	74	56	48	47	68	3	0
236	71	57	48	48	35	32	0
237	61	6	48	44	39	38	0
238	59	61	48	42	42	37	0
239	74	74	48	31	53	52	0
240	78	68	48	83	4	29	1
241	63	69	48	65	41	28	1
242	67	88	48	73	5	25	1
243	61	75	48	51	33	33	1
244	67	84	48	74	54	37	1
245	74	9	48	57	53	29	1
246	73	84	48	86	58	29	1
247	75	76	48	83	57	3	1
248	77	57	48	88	53	2	1
249	74	78	48	75	54	15	1
250	68	76	48	84	45	27	1
251	56	68	48	77	36	45	1
252	65	51	48	66	54	33	1
253	52	81	48	72	38	38	1
254	64	57	48	7	33	26	1
255	6	76	1	77	59	52	1
256	69	59	48	77	39	21	1
257	63	49	48	79	45	28	1
258	71	71	48	68	43	36	1
259	68	63	48	73	4	3	1
260	77	57	1	37	54	1	1
261	66	49	1	54	56	36	1
262	71	46	1	52	59	3	1
263	67	55	1	66	58	16	1
264	68	49	1	62	55	28	1
