	a1	a2	a3	a4	a5	a6	a7	Label
0	49	29	48	5	56	24	35	0
1	7	4	48	5	54	35	44	0
2	56	4	48	5	49	37	46	0
3	59	49	48	5	52	45	36	0
4	23	32	48	5	55	25	35	0
5	67	39	48	5	36	38	46	0
6	29	28	48	5	44	23	34	0
7	21	34	48	5	51	28	39	0
8	2	44	48	5	46	51	57	0
9	42	4	48	5	56	18	3	0
10	42	24	48	5	57	27	37	0
11	25	48	48	5	44	17	29	0
12	39	32	48	5	46	24	35	0
13	51	5	48	5	46	32	35	0
14	22	43	48	5	48	16	28	0
15	25	4	48	5	46	44	52	0
16	34	45	48	5	38	24	35	0
17	44	27	48	5	55	52	58	0
18	23	4	48	5	39	28	38	0
19	41	57	48	5	39	21	32	0
20	4	45	48	5	38	22	0	0
21	31	23	48	5	73	5	14	0
22	51	54	48	5	41	34	43	0
23	3	16	48	5	56	11	23	0
24	36	39	48	5	48	22	23	0
25	29	37	48	5	48	44	52	0
26	25	4	48	5	47	33	42	0
27	21	51	48	5	5	32	41	0
28	43	37	48	5	53	35	44	0
29	43	39	48	5	47	31	41	0
30	53	38	48	5	44	26	36	0
31	34	33	48	5	38	35	44	0
32	56	51	48	5	34	37	46	0
33	4	29	48	5	42	35	44	0
34	24	35	48	5	31	19	31	0
35	36	54	48	5	41	38	46	0
36	29	52	48	5	42	29	39	0
37	65	47	48	5	59	3	4	0
38	32	42	48	5	35	28	38	0
39	38	46	48	5	48	22	29	0
40	33	45	48	5	52	32	41	0
41	3	37	48	5	59	41	49	0
42	4	5	48	5	45	39	47	0
43	28	38	48	5	5	33	42	0
44	61	45	48	5	48	35	41	0
45	17	38	48	5	45	42	5	0
46	44	35	48	5	55	55	61	0
47	43	4	48	5	39	28	39	0
48	42	35	48	5	58	15	27	0
49	23	33	48	5	43	33	43	0
50	37	52	48	5	42	42	36	0
51	29	3	48	5	45	3	17	0
52	22	36	48	5	35	39	47	0
53	23	58	48	5	37	53	59	0
54	47	47	48	5	22	16	26	0
55	54	47	48	5	28	33	42	0
56	51	37	48	5	35	36	45	0
57	4	35	48	5	45	33	42	0
58	44	34	48	5	3	33	43	0
59	42	38	48	5	54	34	43	0
60	44	56	48	5	5	46	54	0
61	52	36	48	5	41	28	38	0
62	36	41	48	5	48	47	54	0
63	18	3	48	5	46	24	35	0
64	47	29	48	5	51	33	43	0
65	24	43	48	5	54	52	59	0
66	25	37	48	5	41	33	42	0
67	52	57	48	5	42	47	54	0
68	25	37	48	5	43	26	36	0
69	35	48	48	5	56	4	48	0
70	26	26	48	5	34	25	35	0
71	44	51	48	5	47	26	36	0
72	37	5	48	5	42	36	45	0
73	44	42	48	5	42	25	2	0
74	24	43	48	5	37	28	38	0
75	42	3	48	5	48	26	36	0
76	48	42	48	5	45	25	35	0
77	41	48	48	5	51	44	51	0
78	44	28	48	5	43	27	37	0
79	29	41	48	5	48	38	46	0
80	34	28	48	5	41	35	44	0
81	41	43	48	5	45	31	41	0
82	29	47	48	5	41	23	34	0
83	34	55	48	5	58	31	41	0
84	36	56	48	5	43	45	53	0
85	4	46	48	5	52	49	56	0
86	5	49	48	5	49	46	53	0
87	52	44	48	5	37	36	42	0
88	5	51	48	5	27	23	34	0
89	53	42	48	5	16	29	39	0
90	34	46	48	5	52	35	44	0
91	4	42	48	5	37	27	27	0
92	41	43	48	5	5	24	25	0
93	3	45	48	5	36	21	32	0
94	31	47	48	5	29	28	39	0
95	64	76	48	5	45	35	38	0
96	35	37	48	5	3	34	43	0
97	57	54	48	5	37	28	33	0
98	65	55	48	5	34	37	28	0
99	51	46	48	5	58	31	41	0
100	38	4	48	5	63	25	35	0
101	24	57	48	5	63	34	43	0
102	38	26	48	5	54	16	28	0
103	33	47	48	5	53	18	29	0
104	24	34	48	5	38	3	4	0
105	26	5	48	5	44	32	41	0
106	44	49	48	5	39	38	4	0
107	43	32	48	5	33	45	52	0
108	49	43	48	5	49	3	4	0
109	47	28	48	5	56	2	25	0
110	32	33	48	5	6	6	2	0
111	34	35	48	5	51	49	56	0
112	35	34	48	5	46	3	27	0
113	38	3	48	5	43	29	39	0
114	38	44	48	5	43	2	31	0
115	41	51	48	5	58	2	31	0
116	34	42	48	5	41	34	43	0
117	51	49	48	5	53	14	26	0
118	25	51	48	5	37	42	5	0
119	29	28	48	5	5	42	5	0
120	25	26	48	5	39	32	42	0
121	24	41	48	5	49	23	34	0
122	17	39	48	5	53	3	39	0
123	4	31	48	5	41	29	39	0
124	61	36	48	5	49	35	44	0
125	34	51	48	5	44	37	46	0
126	28	33	48	5	45	22	33	0
127	4	46	48	5	42	35	44	0
128	23	34	48	5	43	26	37	0
129	37	44	48	5	42	39	47	0
130	0	38	48	5	42	48	55	0
131	39	31	48	5	38	34	43	0
132	3	44	48	5	49	22	33	0
133	27	3	48	5	71	28	39	0
134	17	52	48	5	49	37	46	0
135	36	42	48	5	53	32	41	0
136	3	37	48	5	43	18	3	0
137	26	4	48	5	36	26	37	0
138	4	41	48	5	55	22	33	0
139	22	34	48	5	42	29	39	0
140	44	35	48	5	44	52	59	0
141	27	42	48	5	37	38	43	0
142	16	43	48	5	54	27	37	0
143	6	61	48	5	49	92	37	0
144	44	52	48	5	43	47	54	0
145	63	47	48	5	51	82	84	0
146	23	48	48	5	59	88	89	0
147	34	49	48	5	58	85	8	0
148	43	4	48	5	58	75	78	0
149	46	61	48	5	48	86	87	0
150	27	35	48	5	51	77	79	0
151	52	39	48	5	65	71	73	0
152	29	47	48	5	71	65	69	0
153	55	47	48	5	57	78	8	0
154	12	67	48	5	74	58	63	0
155	4	5	48	5	65	82	84	0
156	73	36	48	5	53	91	92	0
157	84	44	48	5	48	71	74	0
158	48	45	48	5	6	78	8	0
159	54	49	48	5	4	87	88	0
160	48	41	48	5	51	9	88	0
161	5	66	48	5	31	92	92	0
162	72	46	48	5	51	66	7	0
163	47	55	48	5	58	71	75	0
164	33	56	48	5	33	78	8	0
165	64	58	48	5	48	78	73	0
166	54	57	48	5	56	81	83	0
167	47	59	48	5	52	76	79	0
168	63	5	48	5	59	85	86	0
169	49	42	48	5	53	79	81	0
170	31	5	48	5	57	84	85	0
171	74	44	48	5	55	88	89	0
172	33	45	48	5	45	88	89	0
173	45	4	48	5	61	74	77	0
174	71	4	48	5	71	7	74	0
175	5	37	48	5	66	64	69	0
176	66	53	48	5	59	66	66	0
177	6	61	48	5	54	67	71	0
178	83	37	48	5	61	71	74	0
179	34	51	48	5	67	9	9	0
180	63	54	48	5	65	79	81	0
181	7	4	48	5	56	86	83	0
182	6	5	1	5	54	77	8	0
183	16	51	48	5	33	39	48	0
184	74	7	48	5	66	65	69	0
185	2	46	48	5	57	78	81	0
186	89	55	48	5	51	72	76	0
187	7	46	48	5	56	78	73	0
188	12	43	48	5	63	7	74	0
189	61	52	48	5	54	67	52	0
190	33	37	48	5	46	65	69	0
191	63	65	48	5	66	67	71	0
192	41	51	48	5	53	75	78	0
193	34	67	48	5	52	76	79	0
194	58	34	48	5	56	87	81	0
195	59	56	48	5	55	8	82	0
